,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
alpha,0.156736210774,0.154469452503,0.13990121512,0.122679326519,0.114378840716,0.0990188223264,0.0821408923971,0.111603944915,0.11743465864,0.118502038996,0.119560793929,0.118942230456,0.0965178655053,0.0792859799214,0.111143403979,0.113492597229,0.112669026921,0.113245348981,0.108769912658,0.0914141846668,0.0836300682808,0.106555003377,0.108989022825,0.107766754663,0.108216657202,0.104812641031,0.0893777039914,0.0832797240435,0.113374351899,0.114786736241,0.113736752672,0.114685448039,0.111381812345,0.0953714970036,0.0835650355442,0.137297781134
beta,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
rho,-0.822244606424,-0.736503667424,-0.601551411054,-0.310016506607,-0.376039456288,-0.182931154348,-0.33756881323,-0.273694812421,-0.248206449519,-0.269995966005,-0.241173618387,-0.304900526848,-0.296697213116,-0.35191696221,-0.394084724065,-0.373183572055,-0.391617610018,-0.424242621889,-0.414837140755,-0.337595615889,-0.356171589723,-0.575424958474,-0.516441322682,-0.473916322199,-0.454005862474,-0.409195570734,-0.317025939991,-0.364474194628,-0.564456817955,-0.510233054671,-0.492388059621,-0.514933823673,-0.443426328101,-0.354061908011,-0.354696321593,0.0014446124528
nu,1.66386274765,1.39189258846,1.03835041792,0.814598963545,1.1783451547,0.419223527134,0.331176043297,0.806502824805,0.66863718078,0.603107940341,0.525543470841,0.458867414541,0.379931304097,0.380268341589,0.743442850309,0.713833626151,0.663202281245,0.582367843162,0.484941952717,0.422920713561,0.373075170795,0.794953849903,0.695019923268,0.603407002234,0.551759946018,0.514345064986,0.448168596524,0.33582160196,0.804397926967,0.71303410653,0.651126066993,0.596435816426,0.527164280681,0.464361696016,0.336632186873,0.00178776059033
