,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
alpha,0.0612402317927,0.0601150658083,0.0553305414848,0.0497344256732,0.0487962069126,0.048061281097,0.0408830324893,0.0494874304529,0.0522057950765,0.0529785297365,0.053866736287,0.0551594134066,0.047373824704,0.0393322233646,0.058552847337,0.0535036852504,0.0532773546617,0.0537039360361,0.052346891737,0.045227968401,0.0407711140022,0.0571954977417,0.0525270268472,0.0519894992947,0.0522460475668,0.0507475677568,0.043500251628,0.0394850516045,0.0603094758478,0.0548213576218,0.0543069268933,0.0547241977834,0.0532067004841,0.0456295987857,0.0393116957556,0.0629311748881
beta,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
rho,-0.777894232527,-0.671380036704,-0.503812639899,-0.170591126992,-0.278510086648,-0.0255891645908,-0.202071777341,-0.131507114972,-0.0897885109212,-0.107878639821,-0.0614363520238,-0.131745505969,-0.147337525821,-0.236986626765,-9.67258973369e-05,-0.268405043032,-0.28582375532,-0.313830035194,-0.294426528947,-0.216104742323,-0.229212573825,-0.000109996670756,-0.438155703839,-0.382212679687,-0.353203412886,-0.298839564927,-0.196175184211,-0.217470166711,-0.000120919909124,-0.427516091236,-0.402882897613,-0.424189648476,-0.332554519477,-0.230307953229,-0.202764758465,0.462322592666
nu,1.56074773308,1.29074682201,0.966230339373,0.785255963971,1.09754277941,0.384162298167,0.29164180663,0.675264063147,0.566230576944,0.512933576569,0.449550576547,0.392481159846,0.337586744549,0.340419021806,0.00114984856876,0.64850441033,0.597450745088,0.514900533223,0.424043645463,0.380418648322,0.32782919276,0.00112999550879,0.626774440118,0.539774697311,0.489374974543,0.456767545877,0.405209793946,0.286438959113,0.00115868423665,0.638987302825,0.578844482617,0.520797980062,0.458903237399,0.411228170027,0.285549271735,0.530864672207
F,0.0107638332259,0.0110991893281,0.0116024287527,0.0121935636677,0.0161959844231,0.0284363638505,0.0338734710966,0.0160174897353,0.0168024601574,0.0176819474964,0.0186232260932,0.0223841862551,0.0305387253565,0.033460206787,0.022990029862,0.023535063149,0.0241191197646,0.0247247202595,0.0271933226971,0.0318835490705,0.0310092021009,0.0263322222164,0.0265494792292,0.0267842607517,0.0270263314133,0.0279487371252,0.0292443456593,0.0270809467677,0.0252447928412,0.0253993291962,0.0255670295265,0.0257401621026,0.026399841314,0.027290758475,0.0259541153586,0.03
time,0.25,0.5,0.75,1.0,2.0,5.0,10.0,0.25,0.5,0.75,1.0,2.0,5.0,10.0,0.25,0.5,0.75,1.0,2.0,5.0,10.0,0.25,0.5,0.75,1.0,2.0,5.0,10.0,0.25,0.5,0.75,1.0,2.0,5.0,10.0,2.2
