,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
alpha,0.00628208049838,0.00618247995587,0.0057580207927,0.0173314724482,0.00604910844972,0.0430711901844,0.0187381318445,0.0203026407209,0.032178615502,0.0324220897037,0.0415869482774,0.0346692407001,0.0268927383375,0.0134070956538,0.00939640256087,0.0120746056717,0.0118743579249,0.0123717482143,0.0153376593504,0.017177377212,0.0158158914682,0.00827233242593,0.00850478404635,0.00847306456074,0.0097473444272,0.0128629056776,0.0171887475494,0.0180034866833,0.00855864969127,0.0086901653558,0.00863845093203,0.0087228913361,0.0126900269996,0.0164330834395,0.0191145569005,0.374633771549
beta,0.0,0.0,0.0,0.265441730427,8.67361737988e-19,0.469599870885,0.272505252681,0.283308876523,0.381430693814,0.378283927022,0.435224812207,0.378503715945,0.339300188757,0.186707730132,0.0449796283209,0.102963791201,0.0973892175377,0.104052112656,0.161119777651,0.221354479908,0.230736268795,1.07641007556e-16,1.56562577122e-17,0.0,0.0360588005871,0.118037963347,0.239040963391,0.285168491123,1.56116250973e-17,1.28621011285e-18,0.0,1.41383420506e-17,0.107572186578,0.21876297613,0.305053462642,1.0
rho,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nu,0.580446043601,0.675724023538,0.74676534041,0.78998994838,0.997880308023,0.381656335823,0.258451620515,0.618280469482,0.54183739507,0.48465700447,0.43867241196,0.364301315932,0.313024686937,0.295151827237,0.575741131744,0.56000983203,0.503495653166,0.413157109721,0.343049683755,0.337255268667,0.282852391506,0.693878814642,0.554635885163,0.432676172388,0.376336082724,0.373146141913,0.365016653593,0.24552695137,0.67836413776,0.547038136588,0.462505638298,0.383543028951,0.353042612054,0.356557663324,0.24774201417,0.43997493582
