,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
alpha,0.00628333760734,0.00602071204589,0.00540816731897,0.0261149146847,0.00604914589975,0.183475937317,0.144264960732,0.285559718396,0.364060244427,0.349482185164,0.331697862642,0.296454219695,0.181583591852,0.650726689454,0.330489886834,0.331703844629,0.320403868921,0.30950516248,0.266033478351,0.185301194726,0.67148320354,0.311270994007,0.308462538706,0.292803018339,0.285394965722,0.25691705988,0.808637779728,0.705943112934,0.337362809591,0.332245835818,0.320697331158,0.316314767189,0.283746140752,0.772614571124,0.713690982109,0.0101141500666
beta,6.65847441073e-18,0.0,6.26465264489e-19,0.374380420658,2.3551181448e-17,1.0,0.306059015725,0.937153425677,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,4.61120875992e-17
rho,-0.532400688514,-0.398212128949,-0.216458160665,-0.143268277367,0.0100311768557,-0.164707454421,-0.923929880851,-0.350169850532,-0.281217777891,-0.258157966134,-0.182436843895,-0.233626913403,-0.291148458274,-0.615299663697,-0.440227619677,-0.410497727553,-0.403424743021,-0.389637901316,-0.33953068024,-0.398816173707,-0.601340332597,-0.61389836405,-0.518750589178,-0.435345172534,-0.392111317608,-0.353382175563,-0.731924631875,-0.589074197409,-0.614361049141,-0.52672239356,-0.481341500574,-0.473416924914,-0.393724193235,-0.725586783274,-0.584728894762,0.621848652829
nu,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
