VOLATILITY DIFFERENCES;
 ;strikes:;-150;-100;-50;-25;ATM;25;50;100;150;
2y;3m;No market data;-0.0264;0.0627;-0.008;-0.038;-0.0195;-0.0126;0.0179;0.0333;
2y;6m;No market data;-0.0183;0.0453;-0.0031;-0.0233;-0.0182;-0.0083;0.0097;0.0219;
2y;9m;No market data;-0.0092;0.0246;0.0001;-0.0129;-0.0105;-0.0052;0.0046;0.0106;
2y;1y;No market data;-0.0012;0.0043;0.004;-0.0084;-0.0009;0.0002;0.0014;0.0014;
2y;2y;No market data;-0.0239;0.0338;0.0277;-0.012;-0.0248;-0.0177;0.0027;0.0225;
2y;5y;0.0003;-0.0006;0.0003;0.0008;-0.0014;-0.0002;0.0007;0.0007;-0.0006;
2y;10y;0.0006;-0.0004;-0.0009;-0.0006;0.0002;0.0007;0.0009;0.0004;-0.0009;
5y;3m;-0.0003;0.0023;-0.0034;-0.0013;0.0007;0.0014;0.0016;0.0012;-0.0023;
5y;6m;-0.0002;0.0015;-0.002;-0.0008;-0.0002;0.0016;0.0008;0.0003;-0.0011;
5y;9m;-0.0003;0.0018;-0.0017;-0.0015;-0.0007;0.0017;0.0013;0.0006;-0.0013;
5y;1y;-0.0003;0.0011;-0.0008;-0.0008;-0.001;0.0005;0.0013;0.0011;-0.0013;
5y;2y;-0.0;0.0003;-0.0001;-0.0;-0.0007;0.0;0.0005;0.0005;-0.0005;
5y;5y;0.0002;-0.0005;-0.0001;-0.0;0.0008;-0.0004;-0.0002;0.0002;-0.0001;
5y;10y;0.0003;-0.0004;-0.0003;-0.0001;0.0001;0.0002;0.0003;0.0002;-0.0003;
10y;3m;0.0009;-0.0023;-0.0005;0.0022;0.0021;-0.0004;-0.0024;-0.0007;0.0012;
10y;6m;-0.0;0.0003;-0.0005;-0.0004;-0.0002;0.0019;-0.0005;-0.001;0.0005;
10y;9m;-0.0001;0.0004;-0.0002;-0.0001;-0.0011;0.0009;0.0004;-0.0003;-0.0;
10y;1y;-0.0;0.0005;-0.0003;-0.0006;-0.0009;0.0004;0.0011;0.0004;-0.0007;
10y;2y;0.0004;-0.0004;-0.0003;-0.0;-0.0014;0.0006;0.0014;0.0006;-0.001;
10y;5y;0.0003;-0.0004;-0.0001;0.0001;-0.0003;0.0001;0.0004;0.0003;-0.0004;
10y;10y;0.0004;-0.0006;-0.0003;-0.0001;0.0001;0.0003;0.0004;0.0001;-0.0004;
15y;3m;0.0005;-0.0005;-0.0006;-0.0006;-0.0005;0.0003;0.0007;0.0005;-0.0009;
15y;6m;-0.0001;0.0002;-0.0001;-0.0001;-0.0001;-0.0;0.0001;0.0001;-0.0001;
15y;9m;0.0002;-0.0001;-0.0005;-0.0007;-0.001;0.0004;0.0012;0.001;-0.0012;
15y;1y;-0.0;0.0005;-0.0002;-0.0006;-0.0009;0.0004;0.0009;0.0004;-0.0006;
15y;2y;0.0;0.0002;-0.0002;-0.0003;-0.0005;0.0001;0.0006;0.0003;-0.0005;
15y;5y;0.0005;-0.0006;-0.0002;0.0001;-0.0007;0.0003;0.0007;0.0007;-0.0009;
15y;10y;0.0002;-0.0005;0.0002;0.0007;-0.0009;-0.0002;0.0004;0.0004;-0.0003;
30y;3m;-0.0003;0.0007;0.0003;-0.0008;-0.0006;0.0;0.0005;0.0004;-0.0004;
30y;6m;-0.0005;0.001;0.0004;-0.0006;-0.0009;-0.0;0.0005;0.0007;-0.0004;
30y;9m;-0.0003;0.001;-0.0;-0.0008;-0.0009;0.0001;0.0007;0.0007;-0.0007;
30y;1y;-0.0003;0.0007;0.0001;-0.0002;-0.0013;-0.0001;0.0007;0.0009;-0.0007;
30y;2y;-0.0001;0.0003;-0.0;-0.0001;-0.0008;0.0;0.0005;0.0005;-0.0005;
30y;5y;0.0001;-0.0002;0.0002;0.0005;-0.0014;0.0003;0.0005;0.0003;-0.0004;
30y;10y;0.0001;-0.0002;0.0001;0.0003;-0.0007;-0.0;0.0003;0.0003;-0.0003;
3y9m;2y2m;0.002;-0.0013;-0.0061;No market data;0.0049;No market data;0.0007;0.0049;-0.0054;
VOLATILITY DIFFERENCES;
 ;strikes:;-150;-100;-50;-25;ATM;25;50;100;150;
2y;3m;No market data;-0.0263;0.0628;-0.008;-0.0379;-0.0195;-0.0126;0.018;0.0334;
2y;6m;No market data;-0.0184;0.0453;-0.0031;-0.0233;-0.0182;-0.0083;0.0097;0.0219;
2y;9m;No market data;-0.0093;0.0246;0.0001;-0.0129;-0.0104;-0.0051;0.0046;0.0106;
2y;1y;No market data;-0.0014;0.0034;0.0038;-0.0082;-0.0005;0.0006;0.0014;0.001;
2y;2y;No market data;-0.0239;0.0338;0.0277;-0.012;-0.0247;-0.0176;0.0028;0.0225;
2y;5y;0.0012;-0.0022;-0.0003;0.0008;-0.0009;0.0007;0.0016;0.0009;-0.0019;
2y;10y;0.0124;0.0079;0.0036;0.0018;0.0002;-0.002;-0.0047;-0.0117;-0.02;
5y;3m;0.0014;-0.0027;-0.0039;-0.0003;0.0024;0.0031;0.0028;0.0007;-0.0048;
5y;6m;0.0029;-0.0075;-0.0028;0.0011;0.0031;0.005;0.0033;-0.0005;-0.0059;
5y;9m;0.0026;-0.0059;-0.0027;-0.0;0.0022;0.0048;0.0038;0.0001;-0.0057;
5y;1y;0.0018;-0.0042;-0.0014;0.0002;0.001;0.0027;0.0031;0.0009;-0.0044;
5y;2y;0.0018;-0.0035;-0.0012;0.0003;0.0006;0.0019;0.0022;0.0008;-0.003;
5y;5y;0.0008;-0.0014;-0.0005;-0.0001;0.0011;0.0001;0.0004;0.0004;-0.0008;
5y;10y;0.0037;0.0044;0.0045;0.0039;0.0026;0.0007;-0.0018;-0.0086;-0.017;
10y;3m;-0.0342;-0.0062;0.0151;0.0227;0.0238;0.0187;0.0108;-0.0067;-0.0283;
10y;6m;0.0042;-0.0054;-0.0041;-0.0013;0.0015;0.0053;0.0034;0.0;-0.0042;
10y;9m;0.0034;-0.0045;-0.0032;-0.0008;0.0003;0.0038;0.0037;0.0007;-0.004;
