PARAMETERS;
tenor;expiry;alpha;beta;rho;nu
2y;1y;0.049675;0.500000;-0.170423;0.791367;
2y;2y;0.048712;0.500000;-0.279787;1.103882;
2y;5y;0.048038;0.500000;-0.026017;0.385719;
2y;10y;0.040863;0.500000;-0.201972;0.292613;
5y;3m;0.049145;0.500000;-0.143134;0.720404;
5y;6m;0.052014;0.500000;-0.095511;0.590669;
5y;9m;0.052856;0.500000;-0.111347;0.528923;
5y;1y;0.053788;0.500000;-0.063862;0.459823;
5y;2y;0.055119;0.500000;-0.132213;0.396728;
5y;5y;0.047355;0.500000;-0.147237;0.339005;
5y;10y;0.039312;0.500000;-0.236925;0.341443;
10y;3m;0.058553;0.500000;-0.000096;0.001146;
10y;6m;0.053471;0.500000;-0.269030;0.654371;
10y;9m;0.053246;0.500000;-0.286087;0.602444;
10y;1y;0.053682;0.500000;-0.313813;0.518930;
10y;2y;0.052326;0.500000;-0.294413;0.426640;
10y;5y;0.045208;0.500000;-0.216197;0.381890;
10y;10y;0.040747;0.500000;-0.229218;0.329073;
15y;3m;0.057195;0.500000;-0.000108;0.001129;
15y;6m;0.052511;0.500000;-0.437927;0.630723;
15y;9m;0.051970;0.500000;-0.381921;0.543288;
15y;1y;0.052230;0.500000;-0.352738;0.492532;
15y;2y;0.050726;0.500000;-0.298554;0.459351;
15y;5y;0.043474;0.500000;-0.196287;0.407033;
15y;10y;0.039461;0.500000;-0.217297;0.287908;
30y;3m;0.060309;0.500000;-0.000118;0.001157;
30y;6m;0.054803;0.500000;-0.427290;0.643579;
30y;9m;0.054286;0.500000;-0.402594;0.583007;
30y;1y;0.054703;0.500000;-0.423552;0.524729;
30y;2y;0.053179;0.500000;-0.332087;0.462095;
30y;5y;0.045595;0.500000;-0.230432;0.413553;
30y;10y;0.039278;0.500000;-0.202677;0.287568;
3y9m;2y2m;0.062903;0.500000;0.461444;0.532378;
PARAMETERS;
tenor;expiry;alpha;beta;rho;nu
2y;3m;0.156736;0.700000;-0.822245;1.663863;
2y;6m;0.154469;0.700000;-0.736504;1.391893;
2y;9m;0.139901;0.700000;-0.601551;1.038350;
2y;1y;0.122679;0.700000;-0.310017;0.814599;
2y;2y;0.114379;0.700000;-0.376039;1.178345;
2y;5y;0.099019;0.700000;-0.182931;0.419224;
2y;10y;0.082141;0.700000;-0.337569;0.331176;
5y;3m;0.111604;0.700000;-0.273695;0.806503;
5y;6m;0.117435;0.700000;-0.248206;0.668637;
5y;9m;0.118502;0.700000;-0.269996;0.603108;
5y;1y;0.119561;0.700000;-0.241174;0.525543;
5y;2y;0.118942;0.700000;-0.304901;0.458867;
5y;5y;0.096518;0.700000;-0.296697;0.379931;
5y;10y;0.079286;0.700000;-0.351917;0.380268;
10y;3m;0.111143;0.700000;-0.394085;0.743443;
10y;6m;0.113493;0.700000;-0.373184;0.713834;
10y;9m;0.112669;0.700000;-0.391618;0.663202;
10y;1y;0.113245;0.700000;-0.424243;0.582368;
10y;2y;0.108770;0.700000;-0.414837;0.484942;
10y;5y;0.091414;0.700000;-0.337596;0.422921;
10y;10y;0.083630;0.700000;-0.356172;0.373075;
15y;3m;0.106555;0.700000;-0.575425;0.794954;
15y;6m;0.108989;0.700000;-0.516441;0.695020;
15y;9m;0.107767;0.700000;-0.473916;0.603407;
15y;1y;0.108217;0.700000;-0.454006;0.551760;
15y;2y;0.104813;0.700000;-0.409196;0.514345;
15y;5y;0.089378;0.700000;-0.317026;0.448169;
15y;10y;0.083280;0.700000;-0.364474;0.335822;
30y;3m;0.113374;0.700000;-0.564457;0.804398;
30y;6m;0.114787;0.700000;-0.510233;0.713034;
30y;9m;0.113737;0.700000;-0.492388;0.651126;
30y;1y;0.114685;0.700000;-0.514934;0.596436;
30y;2y;0.111382;0.700000;-0.443426;0.527164;
30y;5y;0.095371;0.700000;-0.354062;0.464362;
30y;10y;0.083565;0.700000;-0.354696;0.336632;
3y9m;2y2m;0.137298;0.700000;0.001445;0.001788;
PARAMETERS;
tenor;expiry;alpha;beta;rho;nu
2y;3m;0.646344;1.000000;-0.872442;1.848803;
2y;6m;0.648770;1.000000;-0.808592;1.594991;
2y;9m;0.572969;1.000000;-0.712104;1.183332;
2y;1y;0.482483;1.000000;-0.487654;0.887623;
2y;2y;0.423135;1.000000;-0.492224;1.334144;
2y;5y;0.299087;1.000000;-0.365684;0.488098;
2y;10y;0.241298;1.000000;-0.482135;0.403322;
5y;3m;0.382228;1.000000;-0.431212;0.974273;
5y;6m;0.400446;1.000000;-0.422519;0.812670;
5y;9m;0.400857;1.000000;-0.445534;0.736729;
5y;1y;0.399972;1.000000;-0.433304;0.645033;
5y;2y;0.383046;1.000000;-0.483642;0.569496;
5y;5y;0.286729;1.000000;-0.460246;0.456097;
5y;10y;0.233703;1.000000;-0.478873;0.453169;
10y;3m;0.346095;1.000000;-0.514222;0.844926;
10y;6m;0.352436;1.000000;-0.498233;0.815803;
10y;9m;0.348882;1.000000;-0.515901;0.765998;
10y;1y;0.349507;1.000000;-0.548101;0.688716;
10y;2y;0.329885;1.000000;-0.544978;0.584577;
10y;5y;0.267723;1.000000;-0.474127;0.498021;
10y;10y;0.254975;1.000000;-0.491279;0.455821;
15y;3m;0.319399;1.000000;-0.653404;0.901308;
15y;6m;0.327126;1.000000;-0.609454;0.798678;
15y;9m;0.323364;1.000000;-0.579989;0.701867;
15y;1y;0.324754;1.000000;-0.568418;0.649373;
15y;2y;0.314825;1.000000;-0.533197;0.607862;
15y;5y;0.268427;1.000000;-0.454468;0.523778;
15y;10y;0.266246;1.000000;-0.512627;0.425065;
30y;3m;0.344343;1.000000;-0.647726;0.919758;
30y;6m;0.349505;1.000000;-0.607068;0.825510;
30y;9m;0.346935;1.000000;-0.595377;0.762212;
30y;1y;0.350870;1.000000;-0.616169;0.712511;
30y;2y;0.342373;1.000000;-0.564144;0.636346;
30y;5y;0.295685;1.000000;-0.489347;0.556640;
30y;10y;0.270837;1.000000;-0.506819;0.427813;
3y9m;2y2m;0.363625;1.000000;0.091253;0.517034;
PARAMETERS;
tenor;expiry;alpha;beta;rho;nu
2y;3m;0.006282;0.000000;0.000000;0.580446;
2y;6m;0.006182;0.000000;0.000000;0.675724;
2y;9m;0.005758;0.000000;0.000000;0.746765;
2y;1y;0.017331;0.265442;0.000000;0.789990;
2y;2y;0.006049;0.000000;0.000000;0.997880;
2y;5y;0.043071;0.469600;0.000000;0.381656;
2y;10y;0.018738;0.272505;0.000000;0.258452;
5y;3m;0.020303;0.283309;0.000000;0.618280;
5y;6m;0.032179;0.381431;0.000000;0.541837;
5y;9m;0.032422;0.378284;0.000000;0.484657;
5y;1y;0.041587;0.435225;0.000000;0.438672;
5y;2y;0.034669;0.378504;0.000000;0.364301;
