PARAMETERS;
tenor;expiry;alpha;beta;rho;nu
5y;2y;0.600000;1.000000;-0.999000;0.869642;
5y;5y;0.600000;0.880504;-0.655855;1.685656;
5y;10y;0.600000;0.944189;-0.600904;1.526453;
10y;3m;0.600000;1.000000;-0.999000;0.475293;
10y;6m;0.600000;1.000000;-0.999000;0.722439;
10y;9m;0.600000;0.774720;-0.805128;4.834324;
10y;1y;0.600000;0.786677;-0.789723;3.991679;
10y;2y;0.600000;0.824753;-0.739701;2.689396;
10y;5y;0.600000;0.889723;-0.658629;1.893137;
10y;10y;0.600000;0.946290;-0.594487;1.391174;
15y;3m;0.600000;1.000000;-0.999000;0.749091;
15y;6m;0.600000;1.000000;-0.999000;1.126880;
15y;9m;0.600000;0.768419;-0.811367;4.829103;
15y;1y;0.600000;0.782139;-0.791166;4.112711;
15y;2y;0.600000;0.828455;-0.736774;2.871942;
15y;5y;0.600000;0.894337;-0.656739;1.944815;
15y;10y;0.600000;0.954942;-0.595467;1.182624;
30y;3m;0.600000;1.000000;-0.999000;0.699484;
30y;6m;0.600000;1.000000;-0.999000;0.976848;
30y;9m;0.600000;0.772433;-0.811248;4.715585;
30y;1y;0.600000;0.789146;-0.795591;3.902453;
30y;2y;0.600000;0.831723;-0.738735;2.684283;
30y;5y;0.600000;0.899828;-0.654058;1.826176;
30y;10y;0.600000;0.953864;-0.592977;1.183838;
3y9m;2y2m;0.600000;1.000000;-0.999000;0.797350;
PARAMETERS;
tenor;expiry;alpha;beta;rho;nu
2y;3m;0.006780;0.000000;-0.394996;0.200000;
2y;6m;0.006750;0.000000;-0.081317;0.200000;
2y;9m;0.006419;0.000000;0.381933;0.200000;
2y;1y;0.020156;0.268560;0.576446;0.200000;
2y;2y;0.007971;0.000000;0.096790;0.200000;
2y;5y;0.008555;0.000000;0.685617;0.200000;
2y;10y;0.008939;0.048191;0.275513;0.200000;
5y;3m;0.006723;0.000000;0.568751;0.200000;
5y;6m;0.007102;0.000000;0.789774;0.200000;
5y;9m;0.007321;0.000000;0.777398;0.200000;
5y;1y;0.007587;0.000000;0.889130;0.200000;
5y;2y;0.008424;0.000000;0.744286;0.200000;
5y;5y;0.008688;0.007823;0.476763;0.200000;
5y;10y;0.007403;0.000000;0.212823;0.200000;
10y;3m;0.008352;0.000000;-0.095327;0.200000;
10y;6m;0.008627;0.000000;0.027040;0.200000;
10y;9m;0.008626;0.000000;0.051963;0.200000;
10y;1y;0.008656;0.000000;0.118627;0.200000;
10y;2y;0.008755;0.000000;0.245719;0.200000;
10y;5y;0.008309;0.000000;0.279744;0.200000;
10y;10y;0.007330;0.000000;0.300790;0.200000;
15y;3m;0.008772;0.000000;-0.764608;0.200000;
15y;6m;0.008873;0.000000;-0.417027;0.200000;
15y;9m;0.008731;0.000000;-0.148192;0.200000;
15y;1y;0.008757;0.000000;0.004342;0.200000;
15y;2y;0.008675;0.000000;0.144955;0.200000;
15y;5y;0.007758;0.000000;0.291925;0.200000;
15y;10y;0.008486;0.073431;0.300583;0.200000;
30y;3m;0.009024;0.000000;-0.686543;0.200000;
30y;6m;0.009050;0.000000;-0.359505;0.200000;
30y;9m;0.008930;0.000000;-0.198826;0.200000;
30y;1y;0.008921;0.000000;-0.131869;0.200000;
30y;2y;0.008783;0.000000;0.154389;0.200000;
30y;5y;0.007810;0.000000;0.303799;0.200000;
30y;10y;0.009726;0.116599;0.270495;0.200000;
3y9m;2y2m;0.302246;0.926227;0.126429;0.200000;
PARAMETERS;
tenor;expiry;alpha;beta;rho;nu
2y;3m;0.006705;0.000000;-0.389877;0.400000;
2y;6m;0.006639;0.000000;-0.195432;0.400000;
2y;9m;0.006265;0.000000;0.077907;0.400000;
2y;1y;0.021309;0.287959;0.200856;0.400000;
2y;2y;0.007691;0.000000;0.033515;0.400000;
2y;5y;0.064011;0.580002;-0.090761;0.400000;
2y;10y;0.229574;0.986498;-0.476685;0.400000;
5y;3m;0.006544;0.000000;0.368563;0.400000;
5y;6m;0.008281;0.043867;0.432077;0.400000;
5y;9m;0.011912;0.127456;0.312097;0.400000;
5y;1y;0.020934;0.262383;0.212170;0.400000;
5y;2y;0.055569;0.502318;-0.132530;0.400000;
5y;5y;0.127411;0.777531;-0.343227;0.400000;
5y;10y;0.106717;0.783903;-0.391216;0.400000;
10y;3m;0.008160;0.000000;-0.011169;0.400000;
10y;6m;0.008422;0.000000;0.056405;0.400000;
10y;9m;0.008402;0.000000;0.070160;0.400000;
10y;1y;0.012533;0.106855;-0.008295;0.400000;
10y;2y;0.036819;0.403315;-0.223854;0.400000;
10y;5y;0.061144;0.586265;-0.270641;0.400000;
10y;10y;0.121480;0.802332;-0.407689;0.400000;
15y;3m;0.008565;0.000000;-0.403285;0.400000;
15y;6m;0.008658;0.000000;-0.199729;0.400000;
15y;9m;0.008501;0.000000;-0.045916;0.400000;
15y;1y;0.015855;0.170614;-0.127014;0.400000;
15y;2y;0.022693;0.276239;-0.142903;0.400000;
15y;5y;0.038522;0.466083;-0.173935;0.400000;
15y;10y;0.192699;0.918729;-0.477379;0.400000;
30y;3m;0.008824;0.000000;-0.354483;0.400000;
30y;6m;0.008839;0.000000;-0.165017;0.400000;
30y;9m;0.008701;0.000000;-0.074414;0.400000;
30y;1y;0.014983;0.147351;-0.193499;0.400000;
30y;2y;0.025766;0.302024;-0.190028;0.400000;
30y;5y;0.037566;0.446822;-0.193419;0.400000;
30y;10y;0.190528;0.912451;-0.468596;0.400000;
3y9m;2y2m;0.241584;0.874818;0.182670;0.400000;
PARAMETERS;
tenor;expiry;alpha;beta;rho;nu
2y;3m;0.006594;0.000000;-0.438847;0.600000;
2y;6m;0.006471;0.000000;-0.278198;0.600000;
2y;9m;0.006032;0.000000;-0.057375;0.600000;
2y;1y;0.019185;0.275004;0.078258;0.600000;
2y;2y;0.007257;0.000000;0.013108;0.600000;
2y;5y;0.274694;1.000000;-0.277453;0.600000;
2y;10y;0.192523;1.000000;-0.332856;0.600000;
5y;3m;0.007858;0.053724;0.278755;0.600000;
5y;6m;0.040931;0.443235;-0.023610;0.600000;
5y;9m;0.092271;0.639980;-0.207924;0.600000;
5y;1y;0.221794;0.855425;-0.334814;0.600000;
5y;2y;0.377666;1.000000;-0.453934;0.600000;
5y;5y;0.258409;1.000000;-0.335440;0.600000;
5y;10y;0.197233;1.000000;-0.384337;0.600000;
10y;3m;0.016196;0.189354;-0.107990;0.600000;
10y;6m;0.027168;0.319168;-0.161257;0.600000;
10y;9m;0.051107;0.489081;-0.279281;0.600000;
10y;1y;0.130113;0.737516;-0.438220;0.600000;
10y;2y;0.327836;1.000000;-0.531130;0.600000;
10y;5y;0.248421;1.000000;-0.390031;0.600000;
10y;10y;0.215591;1.000000;-0.399985;0.600000;
15y;3m;0.012759;0.117458;-0.355487;0.600000;
15y;6m;0.036895;0.403080;-0.394515;0.600000;
15y;9m;0.097528;0.673018;-0.458849;0.600000;
15y;1y;0.178113;0.836692;-0.506915;0.600000;
15y;2y;0.276554;0.965269;-0.517954;0.600000;
15y;5y;0.253002;1.000000;-0.395114;0.600000;
15y;10y;0.220784;1.000000;-0.421569;0.600000;
30y;3m;0.014125;0.134862;-0.333571;0.600000;
30y;6m;0.033888;0.369620;-0.363780;0.600000;
30y;9m;0.064045;0.544922;-0.422987;0.600000;
30y;1y;0.113468;0.697458;-0.510375;0.600000;
30y;2y;0.229313;0.893930;-0.523323;0.600000;
30y;5y;0.285520;1.000000;-0.454492;0.600000;
30y;10y;0.227377;1.000000;-0.432293;0.600000;
3y9m;2y2m;0.023345;0.214423;0.617038;0.600000;
