PARAMETERS;
tenor;expiry;alpha;beta;rho;nu
2y;9m;0.055331;0.500000;-0.503813;0.966230;
2y;1y;0.049734;0.500000;-0.170591;0.785256;
2y;2y;0.048796;0.500000;-0.278510;1.097543;
2y;5y;0.048061;0.500000;-0.025589;0.384162;
2y;10y;0.040883;0.500000;-0.202072;0.291642;
5y;3m;0.049487;0.500000;-0.131507;0.675264;
5y;6m;0.052206;0.500000;-0.089789;0.566231;
5y;9m;0.052979;0.500000;-0.107879;0.512934;
5y;1y;0.053867;0.500000;-0.061436;0.449551;
5y;2y;0.055159;0.500000;-0.131746;0.392481;
5y;5y;0.047374;0.500000;-0.147338;0.337587;
5y;10y;0.039332;0.500000;-0.236987;0.340419;
10y;3m;0.058553;0.500000;-0.000097;0.001150;
10y;6m;0.053504;0.500000;-0.268405;0.648504;
10y;9m;0.053277;0.500000;-0.285824;0.597451;
10y;1y;0.053704;0.500000;-0.313830;0.514901;
10y;2y;0.052347;0.500000;-0.294427;0.424044;
10y;5y;0.045228;0.500000;-0.216105;0.380419;
10y;10y;0.040771;0.500000;-0.229213;0.327829;
15y;3m;0.057195;0.500000;-0.000110;0.001130;
15y;6m;0.052527;0.500000;-0.438156;0.626774;
15y;9m;0.051989;0.500000;-0.382213;0.539775;
15y;1y;0.052246;0.500000;-0.353203;0.489375;
15y;2y;0.050748;0.500000;-0.298840;0.456768;
15y;5y;0.043500;0.500000;-0.196175;0.405210;
15y;10y;0.039485;0.500000;-0.217470;0.286439;
30y;3m;0.060309;0.500000;-0.000121;0.001159;
30y;6m;0.054821;0.500000;-0.427516;0.638987;
30y;9m;0.054307;0.500000;-0.402883;0.578844;
30y;1y;0.054724;0.500000;-0.424190;0.520798;
30y;2y;0.053207;0.500000;-0.332555;0.458903;
30y;5y;0.045630;0.500000;-0.230308;0.411228;
30y;10y;0.039312;0.500000;-0.202765;0.285549;
3y9m;2y2m;0.062931;0.500000;0.462323;0.530865;
PARAMETERS;
tenor;expiry;alpha;beta;rho;nu
2y;3m;0.156759;0.700000;-0.822367;1.659112;
2y;6m;0.154504;0.700000;-0.736791;1.388464;
2y;9m;0.139949;0.700000;-0.601993;1.035578;
2y;1y;0.122739;0.700000;-0.310389;0.812715;
2y;2y;0.114440;0.700000;-0.375663;1.176033;
2y;5y;0.099049;0.700000;-0.183253;0.418352;
2y;10y;0.082164;0.700000;-0.337855;0.330639;
5y;3m;0.111941;0.700000;-0.271256;0.787003;
5y;6m;0.117636;0.700000;-0.247586;0.657654;
5y;9m;0.118600;0.700000;-0.269528;0.596473;
5y;1y;0.119650;0.700000;-0.240971;0.520882;
5y;2y;0.118981;0.700000;-0.305217;0.456881;
5y;5y;0.096535;0.700000;-0.296857;0.379323;
5y;10y;0.079293;0.700000;-0.351941;0.379959;
10y;3m;0.111168;0.700000;-0.394057;0.740802;
10y;6m;0.113521;0.700000;-0.373182;0.711442;
10y;9m;0.112696;0.700000;-0.391764;0.661113;
10y;1y;0.113258;0.700000;-0.424390;0.580637;
10y;2y;0.108777;0.700000;-0.414922;0.484156;
10y;5y;0.091429;0.700000;-0.337699;0.422363;
10y;10y;0.083652;0.700000;-0.356265;0.372544;
15y;3m;0.106561;0.700000;-0.575520;0.793206;
15y;6m;0.109001;0.700000;-0.516546;0.693496;
15y;9m;0.107778;0.700000;-0.474090;0.602060;
15y;1y;0.108229;0.700000;-0.454439;0.550470;
15y;2y;0.104828;0.700000;-0.409434;0.513330;
15y;5y;0.089395;0.700000;-0.316903;0.447440;
15y;10y;0.083305;0.700000;-0.364794;0.335176;
30y;3m;0.113388;0.700000;-0.564577;0.802326;
30y;6m;0.114808;0.700000;-0.510385;0.711114;
30y;9m;0.113751;0.700000;-0.492601;0.649347;
30y;1y;0.114704;0.700000;-0.515242;0.594968;
30y;2y;0.111396;0.700000;-0.443567;0.526020;
30y;5y;0.095391;0.700000;-0.354016;0.463669;
30y;10y;0.083592;0.700000;-0.354888;0.335833;
3y9m;2y2m;0.137298;0.700000;0.001443;0.001786;
