,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
alpha,0.00589625691396,0.00792689170745,0.0474577850158,0.0619769127041,0.270486253925,0.318862026714,0.244155234417,0.194614535107,0.383378997386,0.405764652861,0.407359164655,0.38515019238,0.291663198003,0.237721051722,0.254216021372,0.323447788074,0.2721558031,0.201073535737,0.204128268213,0.271046171316,0.256574082017,0.0459971236163,0.316954579466,0.130180654283,0.153666212141,0.216824265024,0.275355919941,0.223127579849,0.0562590463606,0.0994014113081,0.117135756638,0.0964765503005,0.170591852801,0.296671121025,0.241043324758,0.356613648921
beta,3.78482433381e-17,0.0660184535683,0.465991590557,0.519409086738,0.889080973239,1.0,0.999999937407,0.826948553619,0.983777370768,0.999999999896,1.0,1.0,1.0,1.0,0.917652017174,0.976597752667,0.933621952134,0.852630442198,0.870342825706,0.999991933645,0.99998930755,0.469897307709,0.999511367158,0.751369251614,0.795637519575,0.898376628031,0.999999554863,0.954555089493,0.510223675817,0.66080992434,0.707656657175,0.653093899557,0.81404320932,0.999024043736,0.970146029037,0.968361867516
rho,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5,-0.5
nu,1.23007218992,1.17024742837,0.965543202591,0.001,1.27755146375,0.418853079078,0.397187045039,0.785661726875,0.762333629584,0.715490692812,0.611935243898,0.561018292833,0.436633026372,0.445882598936,0.804287173342,0.800056907384,0.73627842282,0.629617626839,0.536772272619,0.485180201581,0.453344400643,0.714011017628,0.871628940635,0.614934684438,0.577789479029,0.572243355283,0.502413619181,0.408406248183,0.730159794676,0.693398954554,0.649142117779,0.574500532712,0.563503048997,0.551983593204,0.416375218652,0.001
F,0.0107638332259,0.0110991893281,0.0116024287527,0.0121935636677,0.0161959844231,0.0284363638505,0.0338734710966,0.0160174897353,0.0168024601574,0.0176819474964,0.0186232260932,0.0223841862551,0.0305387253565,0.033460206787,0.022990029862,0.023535063149,0.0241191197646,0.0247247202595,0.0271933226971,0.0318835490705,0.0310092021009,0.0263322222164,0.0265494792292,0.0267842607517,0.0270263314133,0.0279487371252,0.0292443456593,0.0270809467677,0.0252447928412,0.0253993291962,0.0255670295265,0.0257401621026,0.026399841314,0.027290758475,0.0259541153586,0.03
time,0.25,0.5,0.75,1.0,2.0,5.0,10.0,0.25,0.5,0.75,1.0,2.0,5.0,10.0,0.25,0.5,0.75,1.0,2.0,5.0,10.0,0.25,0.5,0.75,1.0,2.0,5.0,10.0,0.25,0.5,0.75,1.0,2.0,5.0,10.0,2.2
