,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
alpha,0.0239282123235,0.0234916467963,0.0219926180111,0.0202391624038,0.0209933832964,0.023521507858,0.0205785787138,0.0216931236792,0.0231172990642,0.0236792692099,0.0243170011314,0.0257324085786,0.0234370187828,0.0197243092837,0.0245491508995,0.0252434315509,0.0252328921479,0.0255365030091,0.0253160296856,0.0225404664143,0.0201340188215,0.024748682438,0.0253457362295,0.0251250430616,0.0252825298942,0.0246779047598,0.0213259400903,0.0189970271504,0.0258932335471,0.0262165532917,0.025986286768,0.026188977955,0.0255501980438,0.0220287163294,0.0187676610039,0.0315056302963
beta,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3
rho,-0.721805574692,-0.589886685267,-0.385812367931,-0.0215345677629,-0.170944621899,0.154962958366,-0.0279940100276,0.0131140140065,0.0938462570039,0.0905678008072,0.162491519238,0.0973790482254,0.0395931368974,-0.0942180264813,-0.178404912724,-0.145161428513,-0.157851963346,-0.173876784464,-0.136867192607,-0.066847614358,-0.0665367363877,-0.433603428923,-0.341778026506,-0.2676902537,-0.224465041587,-0.15880105985,-0.0501602788155,-0.0176450911845,-0.410798731512,-0.325018393262,-0.289403262223,-0.304774271311,-0.185791622203,-0.074776109086,0.00545778516864,0.583009391265
nu,1.50267182428,1.23338346522,0.929007217168,0.786233275001,1.04868622155,0.36361515856,0.261638030475,0.643356179855,0.521300598625,0.462933778889,0.404485380802,0.34516817688,0.307723850396,0.30972255216,0.631362942286,0.602351701329,0.549068783109,0.461767930257,0.374632002244,0.348076376479,0.293039046734,0.665712113453,0.570769223928,0.487584057184,0.438353579241,0.410469989232,0.373352829796,0.248016484139,0.664479062326,0.579024837852,0.519608077544,0.456920739545,0.403262874327,0.370799538887,0.246500835091,0.562051731413
F,0.0107638332259,0.0110991893281,0.0116024287527,0.0121935636677,0.0161959844231,0.0284363638505,0.0338734710966,0.0160174897353,0.0168024601574,0.0176819474964,0.0186232260932,0.0223841862551,0.0305387253565,0.033460206787,0.022990029862,0.023535063149,0.0241191197646,0.0247247202595,0.0271933226971,0.0318835490705,0.0310092021009,0.0263322222164,0.0265494792292,0.0267842607517,0.0270263314133,0.0279487371252,0.0292443456593,0.0270809467677,0.0252447928412,0.0253993291962,0.0255670295265,0.0257401621026,0.026399841314,0.027290758475,0.0259541153586,0.03
time,0.25,0.5,0.75,1.0,2.0,5.0,10.0,0.25,0.5,0.75,1.0,2.0,5.0,10.0,0.25,0.5,0.75,1.0,2.0,5.0,10.0,0.25,0.5,0.75,1.0,2.0,5.0,10.0,0.25,0.5,0.75,1.0,2.0,5.0,10.0,2.2
