,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
alpha,0.00665444834235,0.00656097559731,0.00615596590098,0.0209556810255,0.00749162354333,0.29651841507,0.216125126736,0.00642449251578,0.0146625420961,0.0309342378889,0.0744961586751,0.17716831616,0.278335269049,0.221128292684,0.00802964032993,0.0082805279731,0.014776871924,0.0422175298542,0.124728181464,0.267140360491,0.241576810184,0.00842518664442,0.0119019641735,0.0299027160064,0.0565014743186,0.085791509371,0.187975904396,0.24299693647,0.00868782945012,0.0115882818822,0.0218922289448,0.0419185867782,0.0805907568928,0.147194183519,0.247862650571,0.3079429553
beta,0.0,1.41050335521e-17,0.0,0.289062922461,0.0,1.0,1.0,2.87682126482e-18,0.188182213723,0.367743169064,0.582817994878,0.803348549404,1.0,1.0,3.29342692394e-18,1.75789650607e-18,0.155372906039,0.435455494522,0.73756422926,0.99980535003,1.0,0.0,0.091309603071,0.347937680219,0.521709881327,0.645101983579,0.904014864627,1.0,0.0,0.0773154785691,0.253041562141,0.42785060368,0.612867058955,0.816517398551,1.0,0.951783663274
rho,-0.413369477709,-0.240078083446,0.0018533051818,0.122186946076,0.0205629635114,-0.353856932899,-0.380516064202,0.347708314281,0.226111683804,0.026544364733,-0.130257876997,-0.370265379106,-0.413255051089,-0.433954468534,0.0159495104958,0.0727476750517,-0.0553095749925,-0.272034802669,-0.431001224753,-0.471965438401,-0.448127493877,-0.329593120459,-0.224951252276,-0.297756691994,-0.363946816811,-0.380367585744,-0.413553525513,-0.439457617606,-0.284106540154,-0.187845116558,-0.262677876956,-0.384275567036,-0.396786123487,-0.411039987523,-0.438471839275,0.12584717678
nu,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
F,0.0107638332259,0.0110991893281,0.0116024287527,0.0121935636677,0.0161959844231,0.0284363638505,0.0338734710966,0.0160174897353,0.0168024601574,0.0176819474964,0.0186232260932,0.0223841862551,0.0305387253565,0.033460206787,0.022990029862,0.023535063149,0.0241191197646,0.0247247202595,0.0271933226971,0.0318835490705,0.0310092021009,0.0263322222164,0.0265494792292,0.0267842607517,0.0270263314133,0.0279487371252,0.0292443456593,0.0270809467677,0.0252447928412,0.0253993291962,0.0255670295265,0.0257401621026,0.026399841314,0.027290758475,0.0259541153586,0.03
time,0.25,0.5,0.75,1.0,2.0,5.0,10.0,0.25,0.5,0.75,1.0,2.0,5.0,10.0,0.25,0.5,0.75,1.0,2.0,5.0,10.0,0.25,0.5,0.75,1.0,2.0,5.0,10.0,0.25,0.5,0.75,1.0,2.0,5.0,10.0,2.2
