,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
alpha,0.00652623980087,0.00637182473763,0.00589193219024,0.0150550411904,0.00699283770568,0.252118945809,0.173402304062,0.0171106357473,0.116333134533,0.238103485235,0.390427187652,0.359047137126,0.238001930789,0.181962262934,0.0568007286785,0.0902738235902,0.159149729497,0.348236567063,0.31380671864,0.229288976104,0.537757145594,0.0374350130757,0.108885268399,0.290506272769,0.319761422356,0.302454752218,0.232637482586,0.565004577221,0.0386586756717,0.094623909856,0.17686855758,0.292956540381,0.33289666779,0.262726585389,0.569829620232,0.0111035862895
beta,0.0,0.0,3.73615132114e-18,0.227056755694,6.47805100205e-18,1.0,1.0,0.247269171406,0.700678614319,0.874476086317,1.0,1.0,1.0,1.0,0.522994911116,0.639587493516,0.792429262058,1.0,1.0,1.0,1.0,0.413457660817,0.700088423355,0.971426385169,1.0,1.0,1.0,1.0,0.408638725654,0.648165350062,0.819468749473,0.952334309815,1.0,1.0,1.0,3.03803149642e-18
rho,-0.464178308602,-0.3131283575,-0.105601967299,0.0712995467069,0.00923542922684,-0.226010473827,-0.34086249084,0.101557308681,-0.220382227844,-0.359110443173,-0.38375065366,-0.374482040916,-0.286751999733,-0.40931977721,-0.302006540085,-0.340707778269,-0.429696000096,-0.540080362476,-0.457415866343,-0.341901093351,-0.689950516367,-0.479655151424,-0.513399333805,-0.565880588482,-0.532049924299,-0.46721312608,-0.346505091936,-0.679659465739,-0.459028652547,-0.486917989774,-0.533424413593,-0.597696755538,-0.516515508328,-0.401497808967,-0.673967277828,0.688507351819
nu,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7
F,0.0107638332259,0.0110991893281,0.0116024287527,0.0121935636677,0.0161959844231,0.0284363638505,0.0338734710966,0.0160174897353,0.0168024601574,0.0176819474964,0.0186232260932,0.0223841862551,0.0305387253565,0.033460206787,0.022990029862,0.023535063149,0.0241191197646,0.0247247202595,0.0271933226971,0.0318835490705,0.0310092021009,0.0263322222164,0.0265494792292,0.0267842607517,0.0270263314133,0.0279487371252,0.0292443456593,0.0270809467677,0.0252447928412,0.0253993291962,0.0255670295265,0.0257401621026,0.026399841314,0.027290758475,0.0259541153586,0.03
time,0.25,0.5,0.75,1.0,2.0,5.0,10.0,0.25,0.5,0.75,1.0,2.0,5.0,10.0,0.25,0.5,0.75,1.0,2.0,5.0,10.0,0.25,0.5,0.75,1.0,2.0,5.0,10.0,0.25,0.5,0.75,1.0,2.0,5.0,10.0,2.2
