,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
alpha,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4
beta,0.89808157009,0.899217413848,0.923828568319,0.959029852563,0.98586906427,1.0,0.863259998961,1.0,0.999269366826,0.999243925055,0.999868056262,1.0,1.0,0.868833033091,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
rho,-0.858046859726,-0.788637156836,-0.68915606411,-0.466367512721,-0.490677877102,-0.999,-0.652851958322,-0.474484187185,-0.424684965274,-0.446459237478,-0.434381637633,-0.593174686167,-0.999,-0.648888912896,-0.806677657101,-0.774100562023,-0.878521863105,-0.999,-0.999,-0.999,-0.797063180725,-0.999,-0.999,-0.999,-0.999,-0.999,-0.999,-0.81337949184,-0.918519607578,-0.937567498284,-0.999,-0.999,-0.999,-0.999,-0.797480545388,-0.0814454261627
nu,1.77749369063,1.51528183005,1.14009310216,0.874002363018,1.32249452601,0.359818609699,1.13518897978,0.925384819196,0.809939347718,0.735139578795,0.643969306845,0.503670287415,0.451564210803,1.33843229706,0.541742446191,0.550650695704,0.481965026133,0.413094767561,0.462814285526,0.512513725219,0.473027441174,0.539501895419,0.493299612122,0.462565843884,0.459125648141,0.526494002991,0.488968688128,0.437693028908,0.604501889825,0.528898023787,0.468708410543,0.467416890719,0.438764590616,0.406810014478,0.438969955519,0.165747405388
F,0.0107638332259,0.0110991893281,0.0116024287527,0.0121935636677,0.0161959844231,0.0284363638505,0.0338734710966,0.0160174897353,0.0168024601574,0.0176819474964,0.0186232260932,0.0223841862551,0.0305387253565,0.033460206787,0.022990029862,0.023535063149,0.0241191197646,0.0247247202595,0.0271933226971,0.0318835490705,0.0310092021009,0.0263322222164,0.0265494792292,0.0267842607517,0.0270263314133,0.0279487371252,0.0292443456593,0.0270809467677,0.0252447928412,0.0253993291962,0.0255670295265,0.0257401621026,0.026399841314,0.027290758475,0.0259541153586,0.03
time,0.25,0.5,0.75,1.0,2.0,5.0,10.0,0.25,0.5,0.75,1.0,2.0,5.0,10.0,0.25,0.5,0.75,1.0,2.0,5.0,10.0,0.25,0.5,0.75,1.0,2.0,5.0,10.0,0.25,0.5,0.75,1.0,2.0,5.0,10.0,2.2
