,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
alpha,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
beta,0.45630716068,0.4604351868,0.477863635242,0.501124575781,0.504636593067,0.511008522025,0.558081420732,0.502190592377,0.489244103329,0.485530525896,0.481245991351,0.47430686921,0.515246821521,0.568861507117,0.488406325969,0.481963346145,0.483012315163,0.480789773875,0.487409647717,0.528657203511,0.557207555094,0.492763840823,0.486477014748,0.48929149979,0.487908807271,0.495902453786,0.538868186094,0.563720894459,0.478307041163,0.475046309936,0.4775939009,0.475528862596,0.483104096288,0.524974735092,0.564260089467,0.433722429855
rho,-0.767384633716,-0.657557896788,-0.492286289655,-0.171245293329,-0.283013155242,-0.0349375333216,-0.245204887729,-0.13448448047,-0.0804471266688,-0.0947918630238,-0.0419086315103,-0.105684244456,-0.159995517442,-0.279612165782,-0.288158976977,-0.258041626289,-0.275847129383,-0.301768870007,-0.285699897969,-0.235203135462,-0.269075689201,-0.508354989586,-0.432154218797,-0.376620141195,-0.346224511971,-0.29623045817,-0.221592880374,-0.269564445973,-0.486780012836,-0.415941246899,-0.39142748611,-0.411301066932,-0.321404165816,-0.24744280343,-0.257243372573,0.504571030606
nu,1.53916023359,1.27241981385,0.958399722191,0.784719372502,1.09376233138,0.385806154869,0.30225460586,0.674630517914,0.560785131034,0.506713504013,0.443349595771,0.384843916695,0.340442562331,0.353219939168,0.673929289146,0.64315600874,0.592286637534,0.508791272412,0.42051395172,0.386051808586,0.339752031907,0.721647530973,0.622489592357,0.53670911584,0.485904765901,0.4557040843,0.412929594232,0.300891860163,0.719124090561,0.630211099394,0.571198454732,0.512049672907,0.453644908975,0.417358703299,0.300746381167,0.53954222955
F,0.0107638332259,0.0110991893281,0.0116024287527,0.0121935636677,0.0161959844231,0.0284363638505,0.0338734710966,0.0160174897353,0.0168024601574,0.0176819474964,0.0186232260932,0.0223841862551,0.0305387253565,0.033460206787,0.022990029862,0.023535063149,0.0241191197646,0.0247247202595,0.0271933226971,0.0318835490705,0.0310092021009,0.0263322222164,0.0265494792292,0.0267842607517,0.0270263314133,0.0279487371252,0.0292443456593,0.0270809467677,0.0252447928412,0.0253993291962,0.0255670295265,0.0257401621026,0.026399841314,0.027290758475,0.0259541153586,0.03
time,0.25,0.5,0.75,1.0,2.0,5.0,10.0,0.25,0.5,0.75,1.0,2.0,5.0,10.0,0.25,0.5,0.75,1.0,2.0,5.0,10.0,0.25,0.5,0.75,1.0,2.0,5.0,10.0,0.25,0.5,0.75,1.0,2.0,5.0,10.0,2.2
