,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
alpha,0.0067795323497,0.00675034395678,0.00641871230642,0.0201562690109,0.00797095364967,0.00855493666362,0.00893881245978,0.00672331244666,0.0071017031236,0.00732069359268,0.00758686832026,0.0084243920068,0.00868783311905,0.00740322141686,0.00835201157093,0.0086274524877,0.00862643431408,0.00865617070872,0.00875477003467,0.00830943283472,0.00733018805172,0.00877220677314,0.00887325031861,0.00873058949285,0.00875729819493,0.00867472600564,0.00775818710803,0.00848629336662,0.00902416857099,0.00905019026707,0.00892985490702,0.00892123047596,0.0087833155844,0.00780964467541,0.00972592753935,0.302246092233
beta,2.57464765139e-19,0.0,7.74013320079e-18,0.268559640144,0.0,0.0,0.0481914740225,0.0,8.27517787338e-18,7.94623297173e-18,1.63442858899e-17,3.70579477063e-18,0.00782348378375,1.47425204733e-18,0.0,0.0,0.0,0.0,0.0,0.0,2.14615405698e-18,0.0,0.0,0.0,0.0,0.0,6.649521593e-19,0.0734311181027,2.19434013071e-18,0.0,2.76133219574e-18,4.82284803482e-18,0.0,6.04092053558e-18,0.116598724051,0.926226694703
rho,-0.394995754676,-0.081316910771,0.381932653144,0.576445614297,0.0967896439615,0.68561708848,0.275513327618,0.568750511037,0.789773583685,0.777397804396,0.889130183159,0.74428626449,0.476762747533,0.212822882517,-0.0953271204832,0.0270395382898,0.0519626801142,0.118626679034,0.245719171995,0.279744366059,0.300790356385,-0.764608202679,-0.417026966502,-0.148192206267,0.00434232902602,0.144954938279,0.291925081026,0.300583487643,-0.686542674943,-0.359504610333,-0.198826129551,-0.131868854269,0.154388816299,0.30379927653,0.270495320704,0.126428933512
nu,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
F,0.0107638332259,0.0110991893281,0.0116024287527,0.0121935636677,0.0161959844231,0.0284363638505,0.0338734710966,0.0160174897353,0.0168024601574,0.0176819474964,0.0186232260932,0.0223841862551,0.0305387253565,0.033460206787,0.022990029862,0.023535063149,0.0241191197646,0.0247247202595,0.0271933226971,0.0318835490705,0.0310092021009,0.0263322222164,0.0265494792292,0.0267842607517,0.0270263314133,0.0279487371252,0.0292443456593,0.0270809467677,0.0252447928412,0.0253993291962,0.0255670295265,0.0257401621026,0.026399841314,0.027290758475,0.0259541153586,0.03
time,0.25,0.5,0.75,1.0,2.0,5.0,10.0,0.25,0.5,0.75,1.0,2.0,5.0,10.0,0.25,0.5,0.75,1.0,2.0,5.0,10.0,0.25,0.5,0.75,1.0,2.0,5.0,10.0,0.25,0.5,0.75,1.0,2.0,5.0,10.0,2.2
