,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
alpha,0.514065663314,0.00680036747455,0.0123733766203,0.062093186753,0.0080449761999,0.348997227667,0.0171941197818,0.0100556775511,0.0159747054916,0.0181732875532,0.0249182838353,0.0264695050321,0.0230650619556,0.0120237985944,0.00841428900103,0.386693160368,0.0086943173486,0.00970375128057,0.0129890618872,0.306964891646,0.0141811228826,0.00877166418835,0.350415469413,0.00880601443396,0.345840986173,0.0106550013025,0.0136687177623,0.0158310211108,0.00903372352543,0.0091049185089,0.00900095242592,0.115358284371,0.0107964909193,0.0133534850017,0.0165212687411,0.357532991102
beta,1.0,0.0,0.143500231316,0.519827686513,1.98982041049e-17,0.999511481007,0.227987347099,0.0966367168228,0.195662471164,0.221940470748,0.294928009196,0.296810483775,0.279757774433,0.129906971844,0.0,0.999511270408,2.60208521397e-18,0.0283652371952,0.105241242084,0.999511549538,0.177115052164,0.0,0.999511349769,1.84360829743e-19,0.999511389866,0.0536207701751,0.152601226569,0.232662808738,1.67485207077e-18,0.0,0.0,1.0,0.0530068199709,0.14135930181,0.248044098436,0.969069829552
rho,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9,-0.9
nu,3.90352181835,0.001,0.001,0.001,0.001,0.25322841165,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.0283885007487,0.478262638617,0.001,0.001,0.001,0.301665322543,0.001,0.180549969255,0.532226428049,0.0378645007166,0.421833653172,0.001,0.001,0.001,0.160856025492,0.0848688017101,0.0494137733773,0.0144400100077,0.001,0.001,0.001,0.001
F,0.0107638332259,0.0110991893281,0.0116024287527,0.0121935636677,0.0161959844231,0.0284363638505,0.0338734710966,0.0160174897353,0.0168024601574,0.0176819474964,0.0186232260932,0.0223841862551,0.0305387253565,0.033460206787,0.022990029862,0.023535063149,0.0241191197646,0.0247247202595,0.0271933226971,0.0318835490705,0.0310092021009,0.0263322222164,0.0265494792292,0.0267842607517,0.0270263314133,0.0279487371252,0.0292443456593,0.0270809467677,0.0252447928412,0.0253993291962,0.0255670295265,0.0257401621026,0.026399841314,0.027290758475,0.0259541153586,0.03
time,0.25,0.5,0.75,1.0,2.0,5.0,10.0,0.25,0.5,0.75,1.0,2.0,5.0,10.0,0.25,0.5,0.75,1.0,2.0,5.0,10.0,0.25,0.5,0.75,1.0,2.0,5.0,10.0,0.25,0.5,0.75,1.0,2.0,5.0,10.0,2.2
