,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
alpha,0.00659423628377,0.00647148572116,0.00603191247702,0.0191853008858,0.00725741543561,0.274693701431,0.192522980012,0.00785788182107,0.0409313498592,0.0922711611734,0.221794407968,0.377666427143,0.25840916198,0.19723330484,0.0161961322087,0.0271675330891,0.0511065512613,0.130112990367,0.327836409421,0.248421190341,0.215590849224,0.0127594166251,0.0368948483152,0.0975283691328,0.178112818454,0.276554479408,0.253002169012,0.220783761641,0.0141245462739,0.0338876032895,0.0640448623468,0.11346780853,0.229312548562,0.285519782479,0.227376714363,0.0233448559142
beta,5.09329720562e-17,0.0,0.0,0.275003698895,0.0,1.0,1.0,0.053723604721,0.44323451628,0.639979972124,0.855425420692,1.0,1.0,1.0,0.1893535925,0.319167925421,0.489080841634,0.737515973779,1.0,1.0,1.0,0.117457689687,0.40307953028,0.673018314442,0.836692102804,0.965268855131,1.0,1.0,0.134861884962,0.369619591511,0.544922203643,0.69745750764,0.893929784583,1.0,1.0,0.214423004059
rho,-0.438847005354,-0.278197745505,-0.0573748770062,0.0782576109601,0.0131081664147,-0.277453410229,-0.3328562561,0.27875453837,-0.0236099819492,-0.207923976254,-0.334814219937,-0.453933956682,-0.33543977634,-0.384337143743,-0.107989878583,-0.161256804923,-0.279280837194,-0.43821980573,-0.531130272151,-0.390031341409,-0.399984828657,-0.355487135457,-0.394514543104,-0.458848917608,-0.506915438391,-0.517954411678,-0.395114098217,-0.42156930695,-0.33357083632,-0.363779633765,-0.422986983884,-0.510374797073,-0.523323354662,-0.45449215375,-0.432293120982,0.617038362851
nu,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6
F,0.0107638332259,0.0110991893281,0.0116024287527,0.0121935636677,0.0161959844231,0.0284363638505,0.0338734710966,0.0160174897353,0.0168024601574,0.0176819474964,0.0186232260932,0.0223841862551,0.0305387253565,0.033460206787,0.022990029862,0.023535063149,0.0241191197646,0.0247247202595,0.0271933226971,0.0318835490705,0.0310092021009,0.0263322222164,0.0265494792292,0.0267842607517,0.0270263314133,0.0279487371252,0.0292443456593,0.0270809467677,0.0252447928412,0.0253993291962,0.0255670295265,0.0257401621026,0.026399841314,0.027290758475,0.0259541153586,0.03
time,0.25,0.5,0.75,1.0,2.0,5.0,10.0,0.25,0.5,0.75,1.0,2.0,5.0,10.0,0.25,0.5,0.75,1.0,2.0,5.0,10.0,0.25,0.5,0.75,1.0,2.0,5.0,10.0,0.25,0.5,0.75,1.0,2.0,5.0,10.0,2.2
