,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
alpha,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
beta,0.603938551895,0.607635399349,0.627514242864,0.65469606971,0.667362343626,0.702627370737,0.755600638907,0.671796521324,0.659895251188,0.657628085042,0.6551009104,0.654950151645,0.709756741649,0.76530771823,0.671944508578,0.666307898183,0.668113728267,0.66668288546,0.677075545704,0.725272571331,0.748938496474,0.682603696262,0.676405371422,0.679465047614,0.678325144979,0.687037092902,0.730884999886,0.748182810495,0.665994009513,0.662669666982,0.665180773509,0.663005138481,0.670884725073,0.712651565759,0.746731268283,0.633092891692
rho,-0.802889084591,-0.709177022204,-0.569547625984,-0.280017174766,-0.36280114287,-0.185074045832,-0.369405954135,-0.255552144693,-0.219760590883,-0.23947934569,-0.205324115224,-0.270730212609,-0.303900717457,-0.384040797917,-0.381311407089,-0.356958810846,-0.376650565491,-0.407803743834,-0.402787186114,-0.351216502611,-0.382761340473,-0.570359392896,-0.508278599227,-0.465676807551,-0.444483166481,-0.403056599401,-0.333433177415,-0.393674384499,-0.553686934899,-0.496254520687,-0.478588207985,-0.500250006384,-0.429383176156,-0.361116550905,-0.38407064596,0.369871012842
nu,1.6075756689,1.33844157836,1.00701771834,0.804051785123,1.15668639222,0.418866178202,0.3429363799,0.767514036804,0.637464499858,0.577227430546,0.503538930472,0.441402900777,0.381063899234,0.394356324372,0.731139470764,0.700284137703,0.650173823002,0.569201998338,0.47690837075,0.428180279263,0.384752443905,0.787052766301,0.685283035903,0.595331071502,0.543645563192,0.509402015029,0.454543017269,0.348182905006,0.789298663071,0.697308562446,0.636563718106,0.580946717964,0.515741214354,0.466996136007,0.34868374723,0.519284906749
F,0.0107638332259,0.0110991893281,0.0116024287527,0.0121935636677,0.0161959844231,0.0284363638505,0.0338734710966,0.0160174897353,0.0168024601574,0.0176819474964,0.0186232260932,0.0223841862551,0.0305387253565,0.033460206787,0.022990029862,0.023535063149,0.0241191197646,0.0247247202595,0.0271933226971,0.0318835490705,0.0310092021009,0.0263322222164,0.0265494792292,0.0267842607517,0.0270263314133,0.0279487371252,0.0292443456593,0.0270809467677,0.0252447928412,0.0253993291962,0.0255670295265,0.0257401621026,0.026399841314,0.027290758475,0.0259541153586,0.03
time,0.25,0.5,0.75,1.0,2.0,5.0,10.0,0.25,0.5,0.75,1.0,2.0,5.0,10.0,0.25,0.5,0.75,1.0,2.0,5.0,10.0,0.25,0.5,0.75,1.0,2.0,5.0,10.0,0.25,0.5,0.75,1.0,2.0,5.0,10.0,2.2
