,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
alpha,0.00679950445821,0.0067803292441,0.0064592125861,0.0245197734711,0.00804384246188,0.0117688290399,0.0078230814437,0.00674957114616,0.00899137857916,0.00956694512064,0.012201248353,0.0117457911966,0.00859987559593,0.00762231833888,0.00840413180238,0.00868285772763,0.00868620618207,0.00871994133293,0.00883757600342,0.00844978058629,0.00754347755795,0.00887576583413,0.00893053865693,0.00879183838454,0.00882185176533,0.00875895538027,0.00789394456437,0.00672157407956,0.00911858931497,0.00910675578149,0.00899016182642,0.00898643187279,0.00886634714041,0.00794412749328,0.00656570057025,0.315543732046
beta,0.0,0.0,3.03847658839e-17,0.311145643141,0.0,0.0864938547799,2.45205046982e-18,3.21423461043e-18,0.0570393436542,0.0651191539616,0.118037616033,0.085643332604,0.0,0.0,2.07378120243e-17,0.0,9.16161012669e-18,3.46223804962e-19,0.0,0.0,2.01585618366e-18,1.66732650591e-17,0.0,5.76718558409e-18,3.66731875762e-19,0.0,0.0,3.03576608296e-18,3.00758709588e-18,2.93592432344e-17,0.0,7.62980777424e-20,0.0,0.0,0.0,0.935336360228
rho,-0.575282018646,0.00586296759322,0.883165457612,0.999,0.213203077979,0.999,0.638583442083,0.999,0.999,0.999,0.999,0.999,0.923978033481,0.386894173123,-0.223214185281,0.0151446571023,0.0648628431127,0.190655723983,0.442270001542,0.513194611379,0.555581360058,-0.999,-0.838087633241,-0.320424603091,-0.0267107223959,0.247068885126,0.531789794824,0.759322937442,-0.999,-0.72744253192,-0.422691188836,-0.288344334914,0.264271711547,0.554344106267,0.832797201938,0.146441960516
nu,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
F,0.0107638332259,0.0110991893281,0.0116024287527,0.0121935636677,0.0161959844231,0.0284363638505,0.0338734710966,0.0160174897353,0.0168024601574,0.0176819474964,0.0186232260932,0.0223841862551,0.0305387253565,0.033460206787,0.022990029862,0.023535063149,0.0241191197646,0.0247247202595,0.0271933226971,0.0318835490705,0.0310092021009,0.0263322222164,0.0265494792292,0.0267842607517,0.0270263314133,0.0279487371252,0.0292443456593,0.0270809467677,0.0252447928412,0.0253993291962,0.0255670295265,0.0257401621026,0.026399841314,0.027290758475,0.0259541153586,0.03
time,0.25,0.5,0.75,1.0,2.0,5.0,10.0,0.25,0.5,0.75,1.0,2.0,5.0,10.0,0.25,0.5,0.75,1.0,2.0,5.0,10.0,0.25,0.5,0.75,1.0,2.0,5.0,10.0,0.25,0.5,0.75,1.0,2.0,5.0,10.0,2.2
